93294,,,A,,0.59,0.25,,0.25,,0.04,0.88,0.88,2,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
93295,,,A,,0.72,0.31,,0.31,,0.05,1.08,1.08,2,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
93296,,,A,,0.00,0.94,,0.94,NA,0.01,0.95,0.95,3,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,01,0,99,0.00,0.00,0.00
93297,,,A,,0.51,1.28,,1.28,NA,0.03,1.82,1.82,1,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
93297,26,,A,,0.51,0.20,,0.20,,0.02,0.73,0.73,1,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
93297,TC,,A,,0.00,1.08,,1.08,NA,0.01,1.09,1.09,1,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,01,0,99,0.00,0.00,0.00
95250,,,A,,0.00,4.52,,4.52,NA,0.05,4.57,4.57,3,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
95251,,,A,,0.68,0.32,,0.32,,0.05,1.05,1.05,2,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99091,,,A,,1.10,0.49,,0.25,,0.07,1.66,1.42,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99212,,,A,,0.70,1.02,,0.17,,0.06,1.78,0.93,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99213,,,A,,1.30,1.46,,0.33,,0.09,2.85,1.72,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99214,,,A,,1.92,2.00,,0.47,,0.14,4.06,2.53,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99215,,,A,,2.80,2.75,,0.75,,0.21,5.76,3.76,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99232,,,A,,1.59,0.40,NA,0.40,,0.12,2.11,2.11,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99421,,,A,,0.25,0.20,,0.06,,0.02,0.47,0.33,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99422,,,A,,0.50,0.38,,0.13,,0.04,0.92,0.67,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99423,,,A,,0.80,0.61,,0.20,,0.05,1.46,1.05,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99439,,,A,,0.70,0.76,,0.17,,0.05,1.51,0.92,0,ZZZ,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99453,,,A,,0.00,0.63,,0.63,NA,0.02,0.65,0.65,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99454,,,A,,0.00,1.55,,1.55,NA,0.01,1.56,1.56,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99457,,,A,,0.61,0.90,,0.14,,0.04,1.55,0.79,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99458,,,A,,0.61,0.59,,0.14,,0.04,1.24,0.79,0,ZZZ,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99490,,,A,,1.00,0.91,,0.24,,0.07,1.98,1.31,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
99491,,,A,,1.50,1.08,,0.37,,0.09,2.67,1.96,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
G2211,,,A,,0.33,0.17,,0.08,,0.02,0.52,0.43,0,ZZZ,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
G2212,,,A,,0.61,0.36,,0.16,,0.05,1.02,0.82,0,XXX,0.00,0.00,0.00,0,0,0,0,0,9,,33.4009,09,0,99,0.00,0.00,0.00
